ID#,Hostname,Location,NetID,Serial Number,Manufacturer,Model,Operating System,IP Address,MAC Address
1,LEBFCT4Tester,LEB,lebfct4tester\development, N o t   A p p l i c a b l e     , N a t i o n a l   I n s t r u m e n t s     , N I   P X I - 8 1 1 9   E m b e d d e d   C o n t r o l l e r     ,Windows 7,192.168.2.103 ,00-80-2F-25-43-ED|00-80-2F-25-43-EC
2,LEBFCT4Handler,LEB,lebfct4handler\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.134.56 ,C4-00-AD-28-A0-A6|C4-00-AD-28-A0-A5
3,WINDOWS-O5NT3FE,LEB,windows-o5nt3fe\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.64 ,00-0B-AB-BB-DD-73|00-0B-AB-BB-DD-72
4,ECDPXI258FCT2,LEB,ecdpxi258fct2\development, N o t   A p p l i c a b l e     , N a t i o n a l   I n s t r u m e n t s     , N I   P X I - 8 1 1 9   E m b e d d e d   C o n t r o l l e r     ,Windows 7,192.168.2.100 ,00-80-2F-23-F1-36|00-80-2F-23-F1-35
5,microbasePRCQV,LEB,microbaseprcqv\microbase, C B P T B X 0 0 5 7 5 3     , A S U S T e K   C o m p u t e r   I N C .     , E T 2 0 1 2 E     ,Windows 7,10.207.133.90 ,10-00-07-00-33-00
6,ECDPXI258FCT1,LEB,ecdpxi258fct1\development, N o t   A p p l i c a b l e     , N a t i o n a l   I n s t r u m e n t s     , N I   P X I - 8 1 0 9   E m b e d d e d   C o n t r o l l e r     ,Windows 7,192.168.2.2 ,00-80-2F-14-6B-65|00-80-2F-14-6B-66
7,LEBFL2,LEB,lebfl2\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.113 ,00-0B-AB-D8-F4-C1|00-0B-AB-D8-F4-C0
8,User-PC202,LEB,user-pc202\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.86 ,00-0B-AB-42-D9-B8|00-0B-AB-42-D9-B7
9,FA3-LEB-CMI,LEB,fa3-leb-cmi\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.133.123 ,00-0B-AB-D8-F1-FA|00-0B-AB-D8-F1-F9
10,Microbase4JGH6,LEB,microbase4jgh6\microbase, T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     , T o   b e   f i l l e d   b y   O . E . M .     ,Windows 7,10.207.128.215 ,00-0B-AB-8C-46-3C|00-0B-AB-42-D9-EE
